de,a,"from (manual)","to (manual)",Timezone,"Activity type",Data,GPS,Modified
2018-11-05T09:30:00+01:00,2018-11-05T10:15:00+01:00,,,Europe/Madrid,Swimming,"{""calories"":172,""hr_average"":0,""hr_min"":0,""hr_max"":0,""hr_zone_0"":0,""hr_zone_1"":0,""hr_zone_2"":0,""hr_zone_3"":0,""laps"":0,""mvts"":0,""pool_length"":25,""type"":9}",,2018-11-05T23:26:44+01:00
2018-11-05T11:02:00+01:00,2018-11-05T11:21:00+01:00,,,Europe/Madrid,Walking,"{""calories"":43,""intensity"":50,""hr_average"":0,""hr_min"":0,""hr_max"":0,""hr_zone_0"":0,""hr_zone_1"":0,""hr_zone_2"":0,""hr_zone_3"":0,""steps"":2096,""distance"":1721,""elevation"":89,""metcumul"":89}","{""end_coordinate_latitude"":0,""end_coordinate_longitude"":0,""region_center_latitude"":0,""region_center_longitude"":0,""span_latitude_delta"":0,""span_longitude_delta"":0,""start_coordinate_latitude"":0,""start_coordinate_longitude"":0}",2018-11-06T15:44:38+01:00
2018-11-05T14:10:00+01:00,2018-11-05T14:30:00+01:00,,,Europe/Madrid,Walking,"{""calories"":38,""intensity"":50,""hr_average"":0,""hr_min"":0,""hr_max"":0,""hr_zone_0"":0,""hr_zone_1"":0,""hr_zone_2"":0,""hr_zone_3"":0,""steps"":2099,""distance"":1623,""elevation"":83,""metcumul"":83}",,2018-11-05T23:23:46+01:00
2018-11-05T18:29:00+01:00,2018-11-05T18:47:00+01:00,,,Europe/Madrid,Walking,"{""calories"":32,""intensity"":50,""hr_average"":0,""hr_min"":0,""hr_max"":0,""hr_zone_0"":0,""hr_zone_1"":0,""hr_zone_2"":0,""hr_zone_3"":0,""steps"":1791,""distance"":1360,""elevation"":72,""metcumul"":72}",,2018-11-05T23:23:50+01:00
2018-11-05T21:01:00+01:00,2018-11-05T21:21:00+01:00,,,Europe/Madrid,Walking,"{""calories"":32,""intensity"":50,""hr_average"":0,""hr_min"":0,""hr_max"":0,""hr_zone_0"":0,""hr_zone_1"":0,""hr_zone_2"":0,""hr_zone_3"":0,""steps"":1850,""distance"":1379,""elevation"":75,""metcumul"":75}","{""end_coordinate_latitude"":0,""end_coordinate_longitude"":0,""region_center_latitude"":0,""region_center_longitude"":0,""span_latitude_delta"":0,""span_longitude_delta"":0,""start_coordinate_latitude"":0,""start_coordinate_longitude"":0}",2018-11-06T15:44:38+01:00
2018-11-07T13:46:00+01:00,2018-11-07T14:02:00+01:00,,,Europe/Madrid,Walking,"{""calories"":31,""intensity"":50,""hr_average"":0,""hr_min"":0,""hr_max"":0,""hr_zone_0"":0,""hr_zone_1"":0,""hr_zone_2"":0,""hr_zone_3"":0,""steps"":1774,""distance"":1334,""elevation"":69,""metcumul"":69}",,2018-11-10T10:29:38+01:00
2018-11-07T16:23:00+01:00,2018-11-07T16:40:00+01:00,,,Europe/Madrid,Walking,"{""calories"":29,""intensity"":50,""hr_average"":0,""hr_min"":0,""hr_max"":0,""hr_zone_0"":0,""hr_zone_1"":0,""hr_zone_2"":0,""hr_zone_3"":0,""steps"":1745,""distance"":1230,""elevation"":68,""metcumul"":68}",,2018-11-10T10:29:38+01:00
2018-11-08T16:48:00+01:00,2018-11-08T16:57:00+01:00,,,Europe/Madrid,Walking,"{""calories"":15,""intensity"":50,""hr_average"":0,""hr_min"":0,""hr_max"":0,""hr_zone_0"":0,""hr_zone_1"":0,""hr_zone_2"":0,""hr_zone_3"":0,""steps"":826,""distance"":637,""elevation"":34,""metcumul"":34}",,2018-11-10T10:29:39+01:00
2018-11-08T18:35:00+01:00,2018-11-08T18:56:00+01:00,,,Europe/Madrid,Walking,"{""calories"":35,""intensity"":50,""hr_average"":0,""hr_min"":0,""hr_max"":0,""hr_zone_0"":0,""hr_zone_1"":0,""hr_zone_2"":0,""hr_zone_3"":0,""steps"":1973,""distance"":1511,""elevation"":81,""metcumul"":81}",,2018-11-10T10:29:39+01:00
2018-11-08T19:26:00+01:00,2018-11-08T19:46:00+01:00,,,Europe/Madrid,Walking,"{""calories"":38,""intensity"":50,""hr_average"":0,""hr_min"":0,""hr_max"":0,""hr_zone_0"":0,""hr_zone_1"":0,""hr_zone_2"":0,""hr_zone_3"":0,""steps"":2063,""distance"":1609,""elevation"":83,""metcumul"":83}",,2018-11-10T10:29:39+01:00
2018-11-09T17:20:00+01:00,2018-11-09T17:31:00+01:00,,,Europe/Madrid,Walking,"{""calories"":56,""intensity"":30,""hr_average"":0,""hr_min"":0,""hr_max"":0,""hr_zone_0"":0,""hr_zone_1"":0,""hr_zone_2"":0,""hr_zone_3"":0,""steps"":312,""distance"":223,""elevation"":19,""metcumul"":19}","{""end_coordinate_latitude"":0,""end_coordinate_longitude"":0,""region_center_latitude"":0,""region_center_longitude"":0,""span_latitude_delta"":0,""span_longitude_delta"":0,""start_coordinate_latitude"":0,""start_coordinate_longitude"":0}",2018-11-12T17:18:15+01:00
2018-11-09T18:07:00+01:00,2018-11-09T18:30:00+01:00,,,Europe/Madrid,Walking,"{""calories"":32,""intensity"":50,""hr_average"":0,""hr_min"":0,""hr_max"":0,""hr_zone_0"":0,""hr_zone_1"":0,""hr_zone_2"":0,""hr_zone_3"":0,""steps"":1918,""distance"":1363,""elevation"":79,""metcumul"":79}",,2018-11-10T10:29:40+01:00
2018-11-10T16:32:00+01:00,2018-11-10T16:43:00+01:00,,,Europe/Madrid,Walking,"{""calories"":21,""intensity"":50,""hr_average"":0,""hr_min"":0,""hr_max"":0,""hr_zone_0"":0,""hr_zone_1"":0,""hr_zone_2"":0,""hr_zone_3"":0,""steps"":1220,""distance"":926,""elevation"":48,""metcumul"":48}",,2018-11-11T12:42:09+01:00
2018-11-12T09:30:00+01:00,2018-11-12T10:15:00+01:00,,,Europe/Madrid,Swimming,"{""calories"":230,""hr_average"":0,""hr_min"":0,""hr_max"":0,""hr_zone_0"":0,""hr_zone_1"":0,""hr_zone_2"":0,""hr_zone_3"":0,""laps"":0,""mvts"":0,""pool_length"":25,""type"":9}",,2018-11-12T17:19:10+01:00
2018-11-12T10:51:00+01:00,2018-11-12T10:55:00+01:00,,,Europe/Madrid,Running,"{""calories"":21,""intensity"":50,""hr_average"":0,""hr_min"":0,""hr_max"":0,""hr_zone_0"":0,""hr_zone_1"":0,""hr_zone_2"":0,""hr_zone_3"":0,""steps"":414,""distance"":462,""elevation"":34,""metcumul"":34}",,2018-11-12T17:17:49+01:00
2018-11-12T10:56:00+01:00,2018-11-12T11:02:00+01:00,,,Europe/Madrid,Walking,"{""calories"":11,""intensity"":50,""hr_average"":0,""hr_min"":0,""hr_max"":0,""hr_zone_0"":0,""hr_zone_1"":0,""hr_zone_2"":0,""hr_zone_3"":0,""steps"":634,""distance"":498,""elevation"":25,""metcumul"":25}",,2018-11-12T17:17:49+01:00
2018-11-12T11:20:00+01:00,2018-11-12T11:24:00+01:00,,,Europe/Madrid,Walking,"{""calories"":14,""intensity"":50,""hr_average"":0,""hr_min"":0,""hr_max"":0,""hr_zone_0"":0,""hr_zone_1"":0,""hr_zone_2"":0,""hr_zone_3"":0,""steps"":492,""distance"":492,""elevation"":25,""metcumul"":25}",,2018-11-12T17:17:50+01:00
2018-11-12T13:04:00+01:00,2018-11-12T13:15:00+01:00,,,Europe/Madrid,Walking,"{""calories"":24,""intensity"":50,""hr_average"":0,""hr_min"":0,""hr_max"":0,""hr_zone_0"":0,""hr_zone_1"":0,""hr_zone_2"":0,""hr_zone_3"":0,""steps"":1069,""distance"":889,""elevation"":49,""metcumul"":49}",,2018-11-12T17:17:50+01:00
2018-11-12T15:44:00+01:00,2018-11-12T15:48:00+01:00,,,Europe/Madrid,Walking,"{""calories"":8,""intensity"":50,""hr_average"":0,""hr_min"":0,""hr_max"":0,""hr_zone_0"":0,""hr_zone_1"":0,""hr_zone_2"":0,""hr_zone_3"":0,""steps"":477,""distance"":374,""elevation"":18,""metcumul"":18}",,2018-11-12T17:17:50+01:00
2018-11-12T15:56:00+01:00,2018-11-12T16:01:00+01:00,,,Europe/Madrid,Walking,"{""calories"":8,""intensity"":50,""hr_average"":0,""hr_min"":0,""hr_max"":0,""hr_zone_0"":0,""hr_zone_1"":0,""hr_zone_2"":0,""hr_zone_3"":0,""steps"":484,""distance"":345,""elevation"":19,""metcumul"":19}",,2018-11-12T17:17:51+01:00
2018-11-12T16:07:00+01:00,2018-11-12T16:11:00+01:00,,,Europe/Madrid,Walking,"{""calories"":8,""intensity"":50,""hr_average"":0,""hr_min"":0,""hr_max"":0,""hr_zone_0"":0,""hr_zone_1"":0,""hr_zone_2"":0,""hr_zone_3"":0,""steps"":456,""distance"":340,""elevation"":17,""metcumul"":17}",,2018-11-12T17:17:51+01:00
2018-11-12T16:31:00+01:00,2018-11-12T16:50:00+01:00,,,Europe/Madrid,Walking,"{""calories"":32,""intensity"":50,""hr_average"":0,""hr_min"":0,""hr_max"":0,""hr_zone_0"":0,""hr_zone_1"":0,""hr_zone_2"":0,""hr_zone_3"":0,""steps"":1876,""distance"":1378,""elevation"":74,""metcumul"":74}",,2018-11-12T17:17:52+01:00
2018-11-16T19:45:00+01:00,2018-11-16T20:10:00+01:00,,,Europe/Madrid,Walking,"{""calories"":40,""intensity"":50,""hr_average"":0,""hr_min"":0,""hr_max"":0,""hr_zone_0"":0,""hr_zone_1"":0,""hr_zone_2"":0,""hr_zone_3"":0,""steps"":2374,""distance"":1710,""elevation"":95,""metcumul"":95}",,2018-11-19T23:30:14+01:00
2018-11-16T23:08:00+01:00,2018-11-16T23:36:00+01:00,,,Europe/Madrid,Walking,"{""calories"":37,""intensity"":50,""hr_average"":0,""hr_min"":0,""hr_max"":0,""hr_zone_0"":0,""hr_zone_1"":0,""hr_zone_2"":0,""hr_zone_3"":0,""steps"":2415,""distance"":1565,""elevation"":97,""metcumul"":97}",,2018-11-19T23:30:15+01:00
2018-11-17T11:52:00+01:00,2018-11-17T11:59:00+01:00,,,Europe/Madrid,Walking,"{""calories"":13,""intensity"":50,""hr_average"":0,""hr_min"":0,""hr_max"":0,""hr_zone_0"":0,""hr_zone_1"":0,""hr_zone_2"":0,""hr_zone_3"":0,""steps"":761,""distance"":582,""elevation"":30,""metcumul"":30}",,2018-11-19T23:30:15+01:00
2018-11-18T15:15:00+01:00,2018-11-18T15:47:00+01:00,,,Europe/Madrid,Walking,"{""calories"":38,""intensity"":50,""hr_average"":0,""hr_min"":0,""hr_max"":0,""hr_zone_0"":0,""hr_zone_1"":0,""hr_zone_2"":0,""hr_zone_3"":0,""steps"":2458,""distance"":1620,""elevation"":101,""metcumul"":101}",,2018-11-19T23:30:16+01:00
2018-11-18T19:22:00+01:00,2018-11-18T19:34:00+01:00,,,Europe/Madrid,Walking,"{""calories"":18,""intensity"":50,""hr_average"":0,""hr_min"":0,""hr_max"":0,""hr_zone_0"":0,""hr_zone_1"":0,""hr_zone_2"":0,""hr_zone_3"":0,""steps"":967,""distance"":764,""elevation"":42,""metcumul"":42}",,2018-11-19T23:30:16+01:00
2018-11-19T09:20:00+01:00,2018-11-19T09:40:00+01:00,,,Europe/Madrid,Swimming,"{""calories"":102,""hr_average"":0,""hr_min"":0,""hr_max"":0,""hr_zone_0"":0,""hr_zone_1"":0,""hr_zone_2"":0,""hr_zone_3"":0,""laps"":0,""mvts"":0,""pool_length"":25,""type"":9}",,2018-11-19T22:01:37+01:00
2018-11-19T11:14:00+01:00,2018-11-19T11:31:00+01:00,,,Europe/Madrid,Walking,"{""calories"":33,""intensity"":50,""hr_average"":0,""hr_min"":0,""hr_max"":0,""hr_zone_0"":0,""hr_zone_1"":0,""hr_zone_2"":0,""hr_zone_3"":0,""steps"":1868,""distance"":1403,""elevation"":73,""metcumul"":73}",,2018-11-19T23:30:17+01:00
2018-11-19T14:07:00+01:00,2018-11-19T14:25:00+01:00,,,Europe/Madrid,Walking,"{""calories"":33,""intensity"":50,""hr_average"":0,""hr_min"":0,""hr_max"":0,""hr_zone_0"":0,""hr_zone_1"":0,""hr_zone_2"":0,""hr_zone_3"":0,""steps"":1894,""distance"":1397,""elevation"":74,""metcumul"":74}",,2018-11-19T23:30:19+01:00
2018-11-19T16:16:00+01:00,2018-11-19T16:33:00+01:00,,,Europe/Madrid,Walking,"{""calories"":28,""intensity"":50,""hr_average"":0,""hr_min"":0,""hr_max"":0,""hr_zone_0"":0,""hr_zone_1"":0,""hr_zone_2"":0,""hr_zone_3"":0,""steps"":1676,""distance"":1208,""elevation"":66,""metcumul"":66}",,2018-11-19T23:30:21+01:00
2018-11-19T20:59:00+01:00,2018-11-19T21:17:00+01:00,,,Europe/Madrid,Walking,"{""calories"":32,""intensity"":50,""hr_average"":0,""hr_min"":0,""hr_max"":0,""hr_zone_0"":0,""hr_zone_1"":0,""hr_zone_2"":0,""hr_zone_3"":0,""steps"":1816,""distance"":1380,""elevation"":72,""metcumul"":72}",,2018-11-19T23:30:21+01:00
2018-11-21T09:20:00+01:00,2018-11-21T10:20:00+01:00,,,Europe/Madrid,Swimming,"{""calories"":307,""hr_average"":0,""hr_min"":0,""hr_max"":0,""hr_zone_0"":0,""hr_zone_1"":0,""hr_zone_2"":0,""hr_zone_3"":0,""laps"":0,""mvts"":0,""pool_length"":25,""type"":9}",,2018-11-21T11:05:57+01:00
2018-11-21T13:17:00+01:00,2018-11-21T13:24:00+01:00,,,Europe/Madrid,Running,"{""calories"":39,""intensity"":50,""hr_average"":0,""hr_min"":0,""hr_max"":0,""hr_zone_0"":0,""hr_zone_1"":0,""hr_zone_2"":0,""hr_zone_3"":0,""steps"":883,""distance"":934,""elevation"":62,""metcumul"":62}",,2018-11-25T11:29:41+01:00
2018-11-21T13:43:00+01:00,2018-11-21T13:54:00+01:00,,,Europe/Madrid,Walking,"{""calories"":21,""intensity"":50,""hr_average"":0,""hr_min"":0,""hr_max"":0,""hr_zone_0"":0,""hr_zone_1"":0,""hr_zone_2"":0,""hr_zone_3"":0,""steps"":1108,""distance"":916,""elevation"":46,""metcumul"":46}",,2018-11-25T11:29:41+01:00
2018-11-21T16:16:00+01:00,2018-11-21T16:33:00+01:00,,,Europe/Madrid,Walking,"{""calories"":33,""intensity"":50,""hr_average"":0,""hr_min"":0,""hr_max"":0,""hr_zone_0"":0,""hr_zone_1"":0,""hr_zone_2"":0,""hr_zone_3"":0,""steps"":1763,""distance"":1420,""elevation"":71,""metcumul"":71}",,2018-11-25T11:29:41+01:00
2018-11-21T18:44:00+01:00,2018-11-21T18:59:00+01:00,,,Europe/Madrid,Walking,"{""calories"":29,""intensity"":50,""hr_average"":0,""hr_min"":0,""hr_max"":0,""hr_zone_0"":0,""hr_zone_1"":0,""hr_zone_2"":0,""hr_zone_3"":0,""steps"":1600,""distance"":1259,""elevation"":64,""metcumul"":64}",,2018-11-25T11:29:41+01:00
2018-11-21T20:32:00+01:00,2018-11-21T20:41:00+01:00,,,Europe/Madrid,Walking,"{""calories"":16,""intensity"":50,""hr_average"":0,""hr_min"":0,""hr_max"":0,""hr_zone_0"":0,""hr_zone_1"":0,""hr_zone_2"":0,""hr_zone_3"":0,""steps"":869,""distance"":687,""elevation"":35,""metcumul"":35}",,2018-11-25T11:29:41+01:00
2018-11-21T20:42:00+01:00,2018-11-21T20:47:00+01:00,,,Europe/Madrid,Running,"{""calories"":30,""intensity"":50,""hr_average"":0,""hr_min"":0,""hr_max"":0,""hr_zone_0"":0,""hr_zone_1"":0,""hr_zone_2"":0,""hr_zone_3"":0,""steps"":606,""distance"":679,""elevation"":47,""metcumul"":47}",,2018-11-25T11:29:42+01:00
2018-11-22T12:49:00+01:00,2018-11-22T12:53:00+01:00,,,Europe/Madrid,Walking,"{""calories"":8,""intensity"":50,""hr_average"":0,""hr_min"":0,""hr_max"":0,""hr_zone_0"":0,""hr_zone_1"":0,""hr_zone_2"":0,""hr_zone_3"":0,""steps"":459,""distance"":354,""elevation"":17,""metcumul"":17}",,2018-11-25T11:29:42+01:00
2018-11-22T18:40:00+01:00,2018-11-22T19:00:00+01:00,,,Europe/Madrid,Walking,"{""calories"":31,""intensity"":50,""hr_average"":0,""hr_min"":0,""hr_max"":0,""hr_zone_0"":0,""hr_zone_1"":0,""hr_zone_2"":0,""hr_zone_3"":0,""steps"":1694,""distance"":1339,""elevation"":72,""metcumul"":72}",,2018-11-25T11:29:42+01:00
2018-11-22T19:16:00+01:00,2018-11-22T19:21:00+01:00,,,Europe/Madrid,Walking,"{""calories"":10,""intensity"":50,""hr_average"":0,""hr_min"":0,""hr_max"":0,""hr_zone_0"":0,""hr_zone_1"":0,""hr_zone_2"":0,""hr_zone_3"":0,""steps"":568,""distance"":431,""elevation"":22,""metcumul"":22}",,2018-11-25T11:29:43+01:00
2018-11-22T19:29:00+01:00,2018-11-22T19:42:00+01:00,,,Europe/Madrid,Walking,"{""calories"":26,""intensity"":50,""hr_average"":0,""hr_min"":0,""hr_max"":0,""hr_zone_0"":0,""hr_zone_1"":0,""hr_zone_2"":0,""hr_zone_3"":0,""steps"":1449,""distance"":1103,""elevation"":57,""metcumul"":57}",,2018-11-25T11:29:43+01:00
2018-11-24T19:17:00+01:00,2018-11-24T19:26:00+01:00,,,Europe/Madrid,Walking,"{""calories"":16,""intensity"":50,""hr_average"":0,""hr_min"":0,""hr_max"":0,""hr_zone_0"":0,""hr_zone_1"":0,""hr_zone_2"":0,""hr_zone_3"":0,""steps"":880,""distance"":674,""elevation"":35,""metcumul"":35}",,2018-11-25T11:29:43+01:00
2018-11-26T09:30:00+01:00,2018-11-26T10:30:00+01:00,,,Europe/Madrid,Swimming,"{""calories"":310,""hr_average"":0,""hr_min"":0,""hr_max"":0,""hr_zone_0"":0,""hr_zone_1"":0,""hr_zone_2"":0,""hr_zone_3"":0,""laps"":0,""mvts"":0,""pool_length"":25,""type"":9}",,2018-11-26T22:55:51+01:00
2018-11-26T11:21:00+01:00,2018-11-26T11:42:00+01:00,,,Europe/Madrid,Walking,"{""calories"":38,""intensity"":50,""hr_average"":0,""hr_min"":0,""hr_max"":0,""hr_zone_0"":0,""hr_zone_1"":0,""hr_zone_2"":0,""hr_zone_3"":0,""steps"":2166,""distance"":1634,""elevation"":86,""metcumul"":86}",,2018-11-28T10:30:29+01:00
2018-11-26T14:08:00+01:00,2018-11-26T14:27:00+01:00,,,Europe/Madrid,Walking,"{""calories"":33,""intensity"":50,""hr_average"":0,""hr_min"":0,""hr_max"":0,""hr_zone_0"":0,""hr_zone_1"":0,""hr_zone_2"":0,""hr_zone_3"":0,""steps"":1947,""distance"":1407,""elevation"":76,""metcumul"":76}",,2018-11-28T10:30:29+01:00
2018-11-26T17:54:00+01:00,2018-11-26T18:10:00+01:00,,,Europe/Madrid,Walking,"{""calories"":29,""intensity"":50,""hr_average"":0,""hr_min"":0,""hr_max"":0,""hr_zone_0"":0,""hr_zone_1"":0,""hr_zone_2"":0,""hr_zone_3"":0,""steps"":1669,""distance"":1240,""elevation"":66,""metcumul"":66}",,2018-11-26T23:49:11+01:00
2018-11-26T21:04:00+01:00,2018-11-26T21:22:00+01:00,,,Europe/Madrid,Walking,"{""calories"":33,""intensity"":50,""hr_average"":0,""hr_min"":0,""hr_max"":0,""hr_zone_0"":0,""hr_zone_1"":0,""hr_zone_2"":0,""hr_zone_3"":0,""steps"":1783,""distance"":1407,""elevation"":73,""metcumul"":73}",,2018-11-26T23:49:11+01:00
2018-11-27T08:15:00+01:00,2018-11-27T09:15:00+01:00,,,Europe/Madrid,Pilates,"{""calories"":310,""intensity"":30,""hr_average"":0,""hr_min"":0,""hr_max"":0,""hr_zone_0"":0,""hr_zone_1"":0,""hr_zone_2"":0,""hr_zone_3"":0,""steps"":0,""distance"":0,""elevation"":0,""metcumul"":0}",,2018-11-27T08:15:34+01:00
2018-11-28T09:15:00+01:00,2018-11-28T10:15:00+01:00,,,Europe/Madrid,Swimming,"{""calories"":312,""hr_average"":0,""hr_min"":0,""hr_max"":0,""hr_zone_0"":0,""hr_zone_1"":0,""hr_zone_2"":0,""hr_zone_3"":0,""laps"":0,""mvts"":0,""pool_length"":25,""type"":9}",,2018-11-28T10:30:56+01:00
2018-11-28T13:41:00+01:00,2018-11-28T13:48:00+01:00,,,Europe/Madrid,Walking,"{""calories"":20,""intensity"":50,""hr_average"":0,""hr_min"":0,""hr_max"":0,""hr_zone_0"":0,""hr_zone_1"":0,""hr_zone_2"":0,""hr_zone_3"":0,""steps"":855,""distance"":737,""elevation"":39,""metcumul"":39}",,2018-11-29T08:55:55+01:00
2018-11-28T13:49:00+01:00,2018-11-28T13:53:00+01:00,,,Europe/Madrid,Running,"{""calories"":22,""intensity"":50,""hr_average"":0,""hr_min"":0,""hr_max"":0,""hr_zone_0"":0,""hr_zone_1"":0,""hr_zone_2"":0,""hr_zone_3"":0,""steps"":480,""distance"":522,""elevation"":35,""metcumul"":35}",,2018-11-29T08:55:55+01:00
2018-11-28T16:14:00+01:00,2018-11-28T16:34:00+01:00,,,Europe/Madrid,Walking,"{""calories"":35,""intensity"":50,""hr_average"":0,""hr_min"":0,""hr_max"":0,""hr_zone_0"":0,""hr_zone_1"":0,""hr_zone_2"":0,""hr_zone_3"":0,""steps"":1993,""distance"":1475,""elevation"":79,""metcumul"":79}",,2018-11-29T08:55:55+01:00
2018-11-28T18:55:00+01:00,2018-11-28T19:11:00+01:00,,,Europe/Madrid,Walking,"{""calories"":30,""intensity"":50,""hr_average"":0,""hr_min"":0,""hr_max"":0,""hr_zone_0"":0,""hr_zone_1"":0,""hr_zone_2"":0,""hr_zone_3"":0,""steps"":1596,""distance"":1256,""elevation"":65,""metcumul"":65}",,2018-11-29T08:55:55+01:00
2018-11-28T21:08:00+01:00,2018-11-28T21:27:00+01:00,,,Europe/Madrid,Walking,"{""calories"":33,""intensity"":50,""hr_average"":0,""hr_min"":0,""hr_max"":0,""hr_zone_0"":0,""hr_zone_1"":0,""hr_zone_2"":0,""hr_zone_3"":0,""steps"":1802,""distance"":1393,""elevation"":74,""metcumul"":74}",,2018-11-29T08:55:55+01:00
2018-12-03T10:52:00+01:00,2018-12-03T11:11:00+01:00,,,Europe/Madrid,Walking,"{""calories"":41,""intensity"":50,""hr_average"":0,""hr_min"":0,""hr_max"":0,""hr_zone_0"":0,""hr_zone_1"":0,""hr_zone_2"":0,""hr_zone_3"":0,""steps"":2170,""distance"":1755,""elevation"":87,""metcumul"":87}",,2018-12-06T07:39:01+01:00
2018-12-03T14:01:00+01:00,2018-12-03T14:23:00+01:00,,,Europe/Madrid,Walking,"{""calories"":40,""intensity"":50,""hr_average"":0,""hr_min"":0,""hr_max"":0,""hr_zone_0"":0,""hr_zone_1"":0,""hr_zone_2"":0,""hr_zone_3"":0,""steps"":2249,""distance"":1706,""elevation"":90,""metcumul"":90}",,2018-12-06T07:39:01+01:00
2018-12-03T18:24:00+01:00,2018-12-03T18:43:00+01:00,,,Europe/Madrid,Walking,"{""calories"":31,""intensity"":50,""hr_average"":0,""hr_min"":0,""hr_max"":0,""hr_zone_0"":0,""hr_zone_1"":0,""hr_zone_2"":0,""hr_zone_3"":0,""steps"":1723,""distance"":1315,""elevation"":71,""metcumul"":71}",,2018-12-06T07:39:01+01:00
2018-12-03T21:06:00+01:00,2018-12-03T21:20:00+01:00,,,Europe/Madrid,Walking,"{""calories"":30,""intensity"":50,""hr_average"":0,""hr_min"":0,""hr_max"":0,""hr_zone_0"":0,""hr_zone_1"":0,""hr_zone_2"":0,""hr_zone_3"":0,""steps"":1596,""distance"":1255,""elevation"":63,""metcumul"":63}",,2018-12-06T07:39:01+01:00
2018-12-04T18:45:00+01:00,2018-12-04T18:58:00+01:00,,,Europe/Madrid,Walking,"{""calories"":24,""intensity"":50,""hr_average"":0,""hr_min"":0,""hr_max"":0,""hr_zone_0"":0,""hr_zone_1"":0,""hr_zone_2"":0,""hr_zone_3"":0,""steps"":1255,""distance"":1018,""elevation"":52,""metcumul"":52}",,2018-12-06T07:39:02+01:00
